genename,log2FoldChange,adjusted_pvalue
CYP1A1,-4.394205162,1.5584E-30
LINC01085,-4.309637667,2.89959E-31
PCSK2,-4.165381677,1.36306E-29
MMP13,-3.171294597,1.11965E-19
MME,-3.003444977,2.09571E-35
SCIN,-2.806412893,1.12093E-22
GOLGA8A,-2.76405241,8.25151E-64
FER1L4,-2.716384192,4.61405E-25
LOC102723859,-2.691410617,4.1966E-33
TM4SF1,-2.659628846,1.18431E-13
C14orf37,-2.653176651,2.32195E-10
FOXI1,-2.621035091,1.05561E-12
TPM2,-2.595298207,1.74447E-11
SCNN1G,-2.577497057,2.67816E-14
ESRR,-2.567092912,9.15306E-12
CPT1B,-2.559053451,8.68881E-25
TFPI,-2.554282551,5.04555E-22
GABRP,-2.550335362,2.4031E-19
KCNE4,-2.496439747,8.17147E-11
GOLGA8B,-2.452726359,3.22337E-20
FOXD4L5,-2.398734631,2.08152E-09
UGT1A6,-2.386204906,3.66264E-10
LOC102724814,-2.380084992,1.00955E-22
PIDD1,-2.342000725,3.98885E-17
KCNJ3,-2.33640809,2.81406E-18
NEURL4,-2.299021914,4.20322E-75
APOD,-2.240903087,3.614E-08
ZNF608,-2.218005929,3.91447E-06
SCNN1B,-2.217541934,6.29607E-11
GUCY1A2,-2.216554412,7.86934E-10
LIME1,-2.210175958,9.08879E-17
TSPYL2,-2.201727493,4.43405E-35
CHRD,-2.198972849,9.48791E-15
PLEKHG4B,-2.194647458,5.90715E-12
TNFRSF11B,-2.190723951,4.62674E-06
TNFRSF25,-2.189117849,2.22157E-10
SCART1,-2.167654589,3.49768E-09
CCNL2,-2.157658108,1.20575E-53
TAS1R3,-2.154955394,1.36107E-07
TM4SF18,-2.148437677,1.31848E-05
SPANXA1,-2.136450872,2.26704E-05
DOCK10,-2.114236432,1.53595E-12
HAPLN1,-2.10475758,3.76138E-05
FER1L6,-2.100936822,4.15715E-06
TIMP3,-2.098283661,9.29429E-29
LRRC16B,-2.097082568,7.34201E-07
LINC00052,-2.089084514,5.13428E-15
AHRR,-2.068898255,2.6105E-08
PRPF39,-2.04905022,7.5945E-67
CACNG6,-2.048530772,2.74365E-05
SPECC1L-ADORA2A,-2.026195857,3.18981E-08
STAG3L5P-PVRIG2P-PILRB,-2.007634122,2.68037E-42
ITGAM,-1.991704688,0.000112377
RHBDL1,-1.990513974,5.50627E-05
EDIL3,-1.981427204,1.33051E-07
FAM24B-CUZD1,-1.980434326,0.00012896
FBN2,-1.973394375,0.000011963
OBSCN,-1.971136304,1.26389E-20
PTOV1-AS2,-1.957756598,1.55616E-10
NEAT1,-1.950557673,1.97106E-41
MMP16,-1.941140408,1.16415E-10
MAMDC4,-1.925573112,5.81273E-10
EPHA4,-1.920528947,7.14672E-38
FHL2,-1.912696318,1.8227E-13
LAT,-1.878039013,0.000151311
SLX1A-SULT1A3,-1.857760376,5.07966E-08
AHSA2,-1.855602866,1.73312E-28
PITRM1-AS1,-1.850693367,1.86954E-09
TAF1L,-1.84725176,0.000219254
CDK5RAP3,-1.841960178,6.87508E-45
DIO2,-1.839876372,0.000408156
LTB4R,-1.83273046,4.38755E-12
GDF15,-1.83207529,1.02936E-53
TEX14,-1.827113772,2.58489E-08
